date,province,confirmed,deaths,recovered
2020-05-23,Punjab,19557,332,6050
2020-05-23,Sindh,21645,354,7213
2020-05-24,AJK,209,2,99
2020-05-24,Balochistan,3407,40,875
2020-05-24,GB,619,7,437
2020-05-24,Islamabad,1641,16,152
2020-05-24,KPK,7905,398,2469
2020-05-24,Punjab,20077,337,6091
2020-05-24,Sindh,22491,367,7359
2020-05-25,AJK,211,2,99
2020-05-25,Balochistan,3468,41,993
2020-05-25,GB,630,8,444
2020-05-25,Islamabad,1728,17,152
2020-05-25,KPK,8080,408,2529
2020-05-25,Punjab,20654,352,6124
2020-05-25,Sindh,22934,369,7973
2020-05-26,AJK,214,4,99
2020-05-26,Balochistan,3536,41,1156
2020-05-26,GB,638,9,463
2020-05-26,Islamabad,1879,18,152
2020-05-26,KPK,8259,416,2578
2020-05-26,Punjab,21118,362,6185
2020-05-26,Sindh,23507,374,8515
2020-05-27,AJK,219,5,99
2020-05-27,Balochistan,3781,41,1289
2020-05-27,GB,651,9,463
2020-05-27,Islamabad,2015,19,152
2020-05-27,KPK,8483,425,2632
2020-05-27,Punjab,22037,381,6326
2020-05-27,Sindh,24206,380,9270
2020-05-28,AJK,227,5,99
2020-05-28,Balochistan,3928,43,1354
2020-05-28,GB,658,9,470
2020-05-28,Islamabad,2100,22,161
2020-05-28,KPK,8842,432,2693
2020-05-28,Punjab,22964,410,6338
2020-05-28,Sindh,25309,396,11190
2020-05-29,AJK,234,6,105
2020-05-29,Balochistan,4087,46,1400
2020-05-29,GB,660,9,477
2020-05-29,Islamabad,2192,23,161
2020-05-29,KPK,9067,445,2731
2020-05-29,Punjab,24104,439,6507
2020-05-29,Sindh,26113,427,12750
2020-05-30,AJK,251,6,159
2020-05-30,Balochistan,4193,46,1471
2020-05-30,GB,678,11,490
2020-05-30,Islamabad,2418,27,169
2020-05-30,KPK,9540,453,2809
2020-05-30,Punjab,25056,475,6901
2020-05-30,Sindh,27360,465,13272
2020-05-31,AJK,255,6,168
2020-05-31,Balochistan,4393,47,1507
2020-05-31,GB,711,11,496
2020-05-31,Islamabad,2589,28,169
2020-05-31,KPK,10027,473,2912
2020-05-31,Punjab,26240,497,7021
2020-05-31,Sindh,28245,481,13810
2020-06-01,AJK,271,6,170
2020-06-01,Balochistan,4448,49,1565
2020-06-01,GB,738,11,527
2020-06-01,Islamabad,2893,30,169
2020-06-01,KPK,10485,482,2973
2020-06-01,Punjab,27850,540,7116
2020-06-01,Sindh,29647,503,14590
2020-06-02,AJK,284,7,170
2020-06-02,Balochistan,4853,49,1733
2020-06-02,GB,779,12,529
2020-06-02,Islamabad,3188,34,399
2020-06-02,KPK,10897,490,3085
2020-06-02,Punjab,29489,570,7469
2020-06-02,Sindh,31086,526,15538
2020-06-03,AJK,285,7,173
2020-06-03,Balochistan,5354,51,2021
2020-06-03,GB,824,12,532
2020-06-03,Islamabad,3544,38,518
2020-06-03,KPK,11373,500,3150
2020-06-03,Punjab,31104,607,7712
2020-06-03,Sindh,31869,555,16022
2020-06-04,AJK,299,7,182
2020-06-04,Balochistan,5582,53,2037
2020-06-04,GB,852,12,541
2020-06-04,Islamabad,3946,41,629
2020-06-04,KPK,11890,521,3221
2020-06-04,Punjab,33144,629,7806
2020-06-04,Sindh,33536,575,16782
2020-06-05,AJK,331,8,185
2020-06-05,Balochistan,5776,54,2110
2020-06-05,GB,897,13,551
2020-06-05,Islamabad,4323,45,629
2020-06-05,KPK,12459,541,3366
2020-06-05,Punjab,35308,659,7953
2020-06-05,Sindh,34889,615,17787
2020-06-06,AJK,361,8,190
2020-06-06,Balochistan,6221,54,2175
2020-06-06,GB,927,13,573
2020-06-06,Islamabad,4979,49,703
