Alue;Aika;val
Pohjois-Karjalan SHP;2020-05-04;0
Pohjois-Savon SHP;2020-05-04;2
Keski-Suomen SHP;2020-05-04;0
Etelä-Pohjanmaan SHP;2020-05-04;1
Vaasan SHP;2020-05-04;0
Keski-Pohjanmaan SHP;2020-05-04;0
Pohjois-Pohjanmaan SHP;2020-05-04;1
Kainuun SHP;2020-05-04;0
Länsi-Pohjan SHP;2020-05-04;2
Lapin SHP;2020-05-04;0
Helsingin ja Uudenmaan SHP;2020-05-04;107
Kaikki Alueet;2020-05-04;134
Ahvenanmaa;2020-05-05;0
Varsinais-Suomen SHP;2020-05-05;8
Satakunnan SHP;2020-05-05;0
Kanta-Hämeen SHP;2020-05-05;0
Pirkanmaan SHP;2020-05-05;3
Päijät-Hämeen SHP;2020-05-05;1
Kymenlaakson SHP;2020-05-05;0
Etelä-Karjalan SHP;2020-05-05;1
Etelä-Savon SHP;2020-05-05;1
Itä-Savon SHP;2020-05-05;0
Pohjois-Karjalan SHP;2020-05-05;0
Pohjois-Savon SHP;2020-05-05;1
Keski-Suomen SHP;2020-05-05;1
Etelä-Pohjanmaan SHP;2020-05-05;1
Vaasan SHP;2020-05-05;0
Keski-Pohjanmaan SHP;2020-05-05;0
Pohjois-Pohjanmaan SHP;2020-05-05;0
Kainuun SHP;2020-05-05;0
Länsi-Pohjan SHP;2020-05-05;5
Lapin SHP;2020-05-05;0
Helsingin ja Uudenmaan SHP;2020-05-05;104
Kaikki Alueet;2020-05-05;126
Ahvenanmaa;2020-05-06;0
Varsinais-Suomen SHP;2020-05-06;1
Satakunnan SHP;2020-05-06;0
Kanta-Hämeen SHP;2020-05-06;3
Pirkanmaan SHP;2020-05-06;4
Päijät-Hämeen SHP;2020-05-06;5
Kymenlaakson SHP;2020-05-06;1
Etelä-Karjalan SHP;2020-05-06;1
Etelä-Savon SHP;2020-05-06;0
Itä-Savon SHP;2020-05-06;0
Pohjois-Karjalan SHP;2020-05-06;0
Pohjois-Savon SHP;2020-05-06;0
Keski-Suomen SHP;2020-05-06;0
Etelä-Pohjanmaan SHP;2020-05-06;0
Vaasan SHP;2020-05-06;0
Keski-Pohjanmaan SHP;2020-05-06;0
Pohjois-Pohjanmaan SHP;2020-05-06;1
Kainuun SHP;2020-05-06;0
Länsi-Pohjan SHP;2020-05-06;2
Lapin SHP;2020-05-06;0
Helsingin ja Uudenmaan SHP;2020-05-06;72
Kaikki Alueet;2020-05-06;90
Ahvenanmaa;2020-05-07;0
Varsinais-Suomen SHP;2020-05-07;7
Satakunnan SHP;2020-05-07;0
Kanta-Hämeen SHP;2020-05-07;3
Pirkanmaan SHP;2020-05-07;2
Päijät-Hämeen SHP;2020-05-07;2
Kymenlaakson SHP;2020-05-07;0
Etelä-Karjalan SHP;2020-05-07;0
Etelä-Savon SHP;2020-05-07;0
Itä-Savon SHP;2020-05-07;0
Pohjois-Karjalan SHP;2020-05-07;0
Pohjois-Savon SHP;2020-05-07;2
Keski-Suomen SHP;2020-05-07;1
Etelä-Pohjanmaan SHP;2020-05-07;3
Vaasan SHP;2020-05-07;0
Keski-Pohjanmaan SHP;2020-05-07;1
Pohjois-Pohjanmaan SHP;2020-05-07;0
Kainuun SHP;2020-05-07;0
Länsi-Pohjan SHP;2020-05-07;2
Lapin SHP;2020-05-07;0
Helsingin ja Uudenmaan SHP;2020-05-07;83
Kaikki Alueet;2020-05-07;106
Ahvenanmaa;2020-05-08;0
Varsinais-Suomen SHP;2020-05-08;3
Satakunnan SHP;2020-05-08;0
Kanta-Hämeen SHP;2020-05-08;2
Pirkanmaan SHP;2020-05-08;1
Päijät-Hämeen SHP;2020-05-08;1
Kymenlaakson SHP;2020-05-08;0
Etelä-Karjalan SHP;2020-05-08;0
Etelä-Savon SHP;2020-05-08;0
Itä-Savon SHP;2020-05-08;0
Pohjois-Karjalan SHP;2020-05-08;0
Pohjois-Savon SHP;2020-05-08;1
Keski-Suomen SHP;2020-05-08;0
Etelä-Pohjanmaan SHP;2020-05-08;0
Vaasan SHP;2020-05-08;1
Keski-Pohjanmaan SHP;2020-05-08;1
Pohjois-Pohjanmaan SHP;2020-05-08;0
Kainuun SHP;2020-05-08;1
Länsi-Pohjan SHP;2020-05-08;1
Lapin SHP;2020-05-08;1
Helsingin ja Uudenmaan SHP;2020-05-08;68
Kaikki Alueet;2020-05-08;81
Ahvenanmaa;2020-05-09;0
Varsinais-Suomen SHP;2020-05-09;0
Satakunnan SHP;2020-05-09;0
Kanta-Hämeen SHP;2020-05-09;0
Pirkanmaan SHP;2020-05-09;0
Päijät-Hämeen SHP;2020-05-09;1
Kymenlaakson SHP;2020-05-09;0
Etelä-Karjalan SHP;2020-05-09;0
Etelä-Savon SHP;2020-05-09;0
Itä-Savon SHP;2020-05-09;0
Pohjois-Karjalan SHP;2020-05-09;0
Pohjois-Savon SHP;2020-05-09;0
Keski-Suomen SHP;2020-05-09;1
Etelä-Pohjanmaan SHP;2020-05-09;1
Vaasan SHP;2020-05-09;0
Keski-Pohjanmaan SHP;2020-05-09;0
Pohjois-Pohjanmaan SHP;2020-05-09;0
Kainuun SHP;2020-05-09;0
Länsi-Pohjan SHP;2020-05-09;1
Lapin SHP;2020-05-09;0
Helsingin ja Uudenmaan SHP;2020-05-09;43
Kaikki Alueet;2020-05-09;47
Ahvenanmaa;2020-05-10;0
Varsinais-Suomen SHP;2020-05-10;0
Satakunnan SHP;2020-05-10;0
Kanta-Hämeen SHP;2020-05-10;0
Pirkanmaan SHP;2020-05-10;0
Päijät-Hämeen SHP;2020-05-10;3
Kymenlaakson SHP;2020-05-10;0
Etelä-Karjalan SHP;2020-05-10;1
Etelä-Savon SHP;2020-05-10;0
Itä-Savon SHP;2020-05-10;0
Pohjois-Karjalan SHP;2020-05-10;0
Pohjois-Savon SHP;2020-05-10;0
Keski-Suomen SHP;2020-05-10;0
Etelä-Pohjanmaan SHP;2020-05-10;0
Vaasan SHP;2020-05-10;0
Keski-Pohjanmaan SHP;2020-05-10;4
Pohjois-Pohjanmaan SHP;2020-05-10;0
Kainuun SHP;2020-05-10;0
Länsi-Pohjan SHP;2020-05-10;1
Lapin SHP;2020-05-10;0
Helsingin ja Uudenmaan SHP;2020-05-10;19
Kaikki Alueet;2020-05-10;28
Ahvenanmaa;2020-05-11;0
Varsinais-Suomen SHP;2020-05-11;3
Satakunnan SHP;2020-05-11;0
Kanta-Hämeen SHP;2020-05-11;0
Pirkanmaan SHP;2020-05-11;4
Päijät-Hämeen SHP;2020-05-11;3
Kymenlaakson SHP;2020-05-11;0
Etelä-Karjalan SHP;2020-05-11;0
Etelä-Savon SHP;2020-05-11;1
Itä-Savon SHP;2020-05-11;0
Pohjois-Karjalan SHP;2020-05-11;0
Pohjois-Savon SHP;2020-05-11;1
Keski-Suomen SHP;2020-05-11;0
Etelä-Pohjanmaan SHP;2020-05-11;2
Vaasan SHP;2020-05-11;1
Keski-Pohjanmaan SHP;2020-05-11;0
Pohjois-Pohjanmaan SHP;2020-05-11;2
Kainuun SHP;2020-05-11;0
Länsi-Pohjan SHP;2020-05-11;3
Lapin SHP;2020-05-11;1
Helsingin ja Uudenmaan SHP;2020-05-11;72
Kaikki Alueet;2020-05-11;93
Ahvenanmaa;2020-05-12;0
Varsinais-Suomen SHP;2020-05-12;1
Satakunnan SHP;2020-05-12;0
Kanta-Hämeen SHP;2020-05-12;0
Pirkanmaan SHP;2020-05-12;1
Päijät-Hämeen SHP;2020-05-12;2
Kymenlaakson SHP;2020-05-12;1
Etelä-Karjalan SHP;2020-05-12;0
Etelä-Savon SHP;2020-05-12;0
Itä-Savon SHP;2020-05-12;0
Pohjois-Karjalan SHP;2020-05-12;0
Pohjois-Savon SHP;2020-05-12;2
Keski-Suomen SHP;2020-05-12;0
Etelä-Pohjanmaan SHP;2020-05-12;0
Vaasan SHP;2020-05-12;0
Keski-Pohjanmaan SHP;2020-05-12;0
Pohjois-Pohjanmaan SHP;2020-05-12;0
Kainuun SHP;2020-05-12;0
Länsi-Pohjan SHP;2020-05-12;0
Lapin SHP;2020-05-12;0
Helsingin ja Uudenmaan SHP;2020-05-12;60
Kaikki Alueet;2020-05-12;67
Ahvenanmaa;2020-05-13;0
Varsinais-Suomen SHP;2020-05-13;6
Satakunnan SHP;2020-05-13;0
Kanta-Hämeen SHP;2020-05-13;0
Pirkanmaan SHP;2020-05-13;1
Päijät-Hämeen SHP;2020-05-13;4
Kymenlaakson SHP;2020-05-13;1
Etelä-Karjalan SHP;2020-05-13;0
Etelä-Savon SHP;2020-05-13;1
Itä-Savon SHP;2020-05-13;0
Pohjois-Karjalan SHP;2020-05-13;0
Pohjois-Savon SHP;2020-05-13;1
Keski-Suomen SHP;2020-05-13;0
Etelä-Pohjanmaan SHP;2020-05-13;0
Vaasan SHP;2020-05-13;0
Keski-Pohjanmaan SHP;2020-05-13;0
Pohjois-Pohjanmaan SHP;2020-05-13;0
Kainuun SHP;2020-05-13;0
Länsi-Pohjan SHP;2020-05-13;0
Lapin SHP;2020-05-13;0
Helsingin ja Uudenmaan SHP;2020-05-13;65
Kaikki Alueet;2020-05-13;79
Ahvenanmaa;2020-05-14;0
Varsinais-Suomen SHP;2020-05-14;1
Satakunnan SHP;2020-05-14;0
Kanta-Hämeen SHP;2020-05-14;1
Pirkanmaan SHP;2020-05-14;1
Päijät-Hämeen SHP;2020-05-14;2
Kymenlaakson SHP;2020-05-14;0
Etelä-Karjalan SHP;2020-05-14;0
Etelä-Savon SHP;2020-05-14;0
Itä-Savon SHP;2020-05-14;0
Pohjois-Karjalan SHP;2020-05-14;0
Pohjois-Savon SHP;2020-05-14;0
Keski-Suomen SHP;2020-05-14;0
Etelä-Pohjanmaan SHP;2020-05-14;0
Vaasan SHP;2020-05-14;0
Keski-Pohjanmaan SHP;2020-05-14;0
Pohjois-Pohjanmaan SHP;2020-05-14;0
Kainuun SHP;2020-05-14;1
Länsi-Pohjan SHP;2020-05-14;0
Lapin SHP;2020-05-14;0
Helsingin ja Uudenmaan SHP;2020-05-14;45
Kaikki Alueet;2020-05-14;51
Ahvenanmaa;2020-05-15;0
Varsinais-Suomen SHP;2020-05-15;3
Satakunnan SHP;2020-05-15;0
Kanta-Hämeen SHP;2020-05-15;0
Pirkanmaan SHP;2020-05-15;0
Päijät-Hämeen SHP;2020-05-15;2
Kymenlaakson SHP;2020-05-15;0
Etelä-Karjalan SHP;2020-05-15;0
Etelä-Savon SHP;2020-05-15;0
Itä-Savon SHP;2020-05-15;0
Pohjois-Karjalan SHP;2020-05-15;0
Pohjois-Savon SHP;2020-05-15;0
Keski-Suomen SHP;2020-05-15;0
Etelä-Pohjanmaan SHP;2020-05-15;0
Vaasan SHP;2020-05-15;0
Keski-Pohjanmaan SHP;2020-05-15;0
Pohjois-Pohjanmaan SHP;2020-05-15;0
Kainuun SHP;2020-05-15;0
Länsi-Pohjan SHP;2020-05-15;3
Lapin SHP;2020-05-15;0
Helsingin ja Uudenmaan SHP;2020-05-15;47
Kaikki Alueet;2020-05-15;55
Ahvenanmaa;2020-05-16;0
Varsinais-Suomen SHP;2020-05-16;0
Satakunnan SHP;2020-05-16;0
Kanta-Hämeen SHP;2020-05-16;0
Pirkanmaan SHP;2020-05-16;0
Päijät-Hämeen SHP;2020-05-16;0
Kymenlaakson SHP;2020-05-16;0
Etelä-Karjalan SHP;2020-05-16;0
Etelä-Savon SHP;2020-05-16;0
Itä-Savon SHP;2020-05-16;0
Pohjois-Karjalan SHP;2020-05-16;0
Pohjois-Savon SHP;2020-05-16;0
Keski-Suomen SHP;2020-05-16;0
Etelä-Pohjanmaan SHP;2020-05-16;0
Vaasan SHP;2020-05-16;0
Keski-Pohjanmaan SHP;2020-05-16;0
Pohjois-Pohjanmaan SHP;2020-05-16;0
Kainuun SHP;2020-05-16;0
Länsi-Pohjan SHP;2020-05-16;0
Lapin SHP;2020-05-16;0
Helsingin ja Uudenmaan SHP;2020-05-16;25
Kaikki Alueet;2020-05-16;25
Ahvenanmaa;2020-05-17;0
Varsinais-Suomen SHP;2020-05-17;0
Satakunnan SHP;2020-05-17;0
Kanta-Hämeen SHP;2020-05-17;3
Pirkanmaan SHP;2020-05-17;0
Päijät-Hämeen SHP;2020-05-17;0
Kymenlaakson SHP;2020-05-17;0
Etelä-Karjalan SHP;2020-05-17;0
Etelä-Savon SHP;2020-05-17;1
Itä-Savon SHP;2020-05-17;0
Pohjois-Karjalan SHP;2020-05-17;0
Pohjois-Savon SHP;2020-05-17;0
Keski-Suomen SHP;2020-05-17;0
Etelä-Pohjanmaan SHP;2020-05-17;0
Vaasan SHP;2020-05-17;0
Keski-Pohjanmaan SHP;2020-05-17;0
Pohjois-Pohjanmaan SHP;2020-05-17;0
Kainuun SHP;2020-05-17;0
Länsi-Pohjan SHP;2020-05-17;0
Lapin SHP;2020-05-17;0
Helsingin ja Uudenmaan SHP;2020-05-17;26
Kaikki Alueet;2020-05-17;30
Ahvenanmaa;2020-05-18;0
Varsinais-Suomen SHP;2020-05-18;4
Satakunnan SHP;2020-05-18;0
Kanta-Hämeen SHP;2020-05-18;0
Pirkanmaan SHP;2020-05-18;1
Päijät-Hämeen SHP;2020-05-18;1
Kymenlaakson SHP;2020-05-18;0
Etelä-Karjalan SHP;2020-05-18;0
Etelä-Savon SHP;2020-05-18;0
Itä-Savon SHP;2020-05-18;0
Pohjois-Karjalan SHP;2020-05-18;0
Pohjois-Savon SHP;2020-05-18;0
Keski-Suomen SHP;2020-05-18;0
Etelä-Pohjanmaan SHP;2020-05-18;0
Vaasan SHP;2020-05-18;0
Keski-Pohjanmaan SHP;2020-05-18;0
Pohjois-Pohjanmaan SHP;2020-05-18;0
Kainuun SHP;2020-05-18;0
Länsi-Pohjan SHP;2020-05-18;1
Lapin SHP;2020-05-18;0
Helsingin ja Uudenmaan SHP;2020-05-18;38
Kaikki Alueet;2020-05-18;45
Ahvenanmaa;2020-05-19;0
Varsinais-Suomen SHP;2020-05-19;3
Satakunnan SHP;2020-05-19;0
Kanta-Hämeen SHP;2020-05-19;0
Pirkanmaan SHP;2020-05-19;0
Päijät-Hämeen SHP;2020-05-19;0
Kymenlaakson SHP;2020-05-19;0
Etelä-Karjalan SHP;2020-05-19;0
Etelä-Savon SHP;2020-05-19;0
Itä-Savon SHP;2020-05-19;1
Pohjois-Karjalan SHP;2020-05-19;0
Pohjois-Savon SHP;2020-05-19;0
Keski-Suomen SHP;2020-05-19;0
Etelä-Pohjanmaan SHP;2020-05-19;0
Vaasan SHP;2020-05-19;0
Keski-Pohjanmaan SHP;2020-05-19;0
Pohjois-Pohjanmaan SHP;2020-05-19;1
Kainuun SHP;2020-05-19;0
Länsi-Pohjan SHP;2020-05-19;0
Lapin SHP;2020-05-19;0
Helsingin ja Uudenmaan SHP;2020-05-19;35
Kaikki Alueet;2020-05-19;40
Ahvenanmaa;2020-05-20;0
Varsinais-Suomen SHP;2020-05-20;2
Satakunnan SHP;2020-05-20;0
Kanta-Hämeen SHP;2020-05-20;2
Pirkanmaan SHP;2020-05-20;0
Päijät-Hämeen SHP;2020-05-20;0
Kymenlaakson SHP;2020-05-20;0
Etelä-Karjalan SHP;2020-05-20;0
Etelä-Savon SHP;2020-05-20;2
Itä-Savon SHP;2020-05-20;0
Pohjois-Karjalan SHP;2020-05-20;0
Pohjois-Savon SHP;2020-05-20;0
Keski-Suomen SHP;2020-05-20;0
Etelä-Pohjanmaan SHP;2020-05-20;0
Vaasan SHP;2020-05-20;0
Keski-Pohjanmaan SHP;2020-05-20;0
Pohjois-Pohjanmaan SHP;2020-05-20;0
Kainuun SHP;2020-05-20;0
Länsi-Pohjan SHP;2020-05-20;0
Lapin SHP;2020-05-20;0
Helsingin ja Uudenmaan SHP;2020-05-20;37
Kaikki Alueet;2020-05-20;43
Ahvenanmaa;2020-05-21;0
Varsinais-Suomen SHP;2020-05-21;2
Satakunnan SHP;2020-05-21;0
Kanta-Hämeen SHP;2020-05-21;0
Pirkanmaan SHP;2020-05-21;0
Päijät-Hämeen SHP;2020-05-21;0
Kymenlaakson SHP;2020-05-21;0
Etelä-Karjalan SHP;2020-05-21;1
Etelä-Savon SHP;2020-05-21;1
Itä-Savon SHP;2020-05-21;2
Pohjois-Karjalan SHP;2020-05-21;0
Pohjois-Savon SHP;2020-05-21;0
Keski-Suomen SHP;2020-05-21;0
Etelä-Pohjanmaan SHP;2020-05-21;0
Vaasan SHP;2020-05-21;0
Keski-Pohjanmaan SHP;2020-05-21;0
Pohjois-Pohjanmaan SHP;2020-05-21;0
Kainuun SHP;2020-05-21;0
Länsi-Pohjan SHP;2020-05-21;0
Lapin SHP;2020-05-21;0
Helsingin ja Uudenmaan SHP;2020-05-21;16
Kaikki Alueet;2020-05-21;22
Ahvenanmaa;2020-05-22;0
Varsinais-Suomen SHP;2020-05-22;3
Satakunnan SHP;2020-05-22;0
Kanta-Hämeen SHP;2020-05-22;0
Pirkanmaan SHP;2020-05-22;1
Päijät-Hämeen SHP;2020-05-22;0
Kymenlaakson SHP;2020-05-22;0
Etelä-Karjalan SHP;2020-05-22;0
Etelä-Savon SHP;2020-05-22;0
Itä-Savon SHP;2020-05-22;0
Pohjois-Karjalan SHP;2020-05-22;0
Pohjois-Savon SHP;2020-05-22;0
Keski-Suomen SHP;2020-05-22;0
Etelä-Pohjanmaan SHP;2020-05-22;0
Vaasan SHP;2020-05-22;0
Keski-Pohjanmaan SHP;2020-05-22;0
Pohjois-Pohjanmaan SHP;2020-05-22;0
Kainuun SHP;2020-05-22;0
Länsi-Pohjan SHP;2020-05-22;0
Lapin SHP;2020-05-22;0
Helsingin ja Uudenmaan SHP;2020-05-22;28
Kaikki Alueet;2020-05-22;32
Ahvenanmaa;2020-05-23;0
Varsinais-Suomen SHP;2020-05-23;4
Satakunnan SHP;2020-05-23;0
Kanta-Hämeen SHP;2020-05-23;0
Pirkanmaan SHP;2020-05-23;0
Päijät-Hämeen SHP;2020-05-23;0
Kymenlaakson SHP;2020-05-23;0
Etelä-Karjalan SHP;2020-05-23;1
Etelä-Savon SHP;2020-05-23;0
Itä-Savon SHP;2020-05-23;0
Pohjois-Karjalan SHP;2020-05-23;0
Pohjois-Savon SHP;2020-05-23;0
Keski-Suomen SHP;2020-05-23;0
Etelä-Pohjanmaan SHP;2020-05-23;1
Vaasan SHP;2020-05-23;0
Keski-Pohjanmaan SHP;2020-05-23;0
Pohjois-Pohjanmaan SHP;2020-05-23;0
Kainuun SHP;2020-05-23;0
Länsi-Pohjan SHP;2020-05-23;0
Lapin SHP;2020-05-23;0
Helsingin ja Uudenmaan SHP;2020-05-23;11
Kaikki Alueet;2020-05-23;17
Ahvenanmaa;2020-05-24;1
Varsinais-Suomen SHP;2020-05-24;1
Satakunnan SHP;2020-05-24;0
Kanta-Hämeen SHP;2020-05-24;0
Pirkanmaan SHP;2020-05-24;0
Päijät-Hämeen SHP;2020-05-24;0
Kymenlaakson SHP;2020-05-24;0
Etelä-Karjalan SHP;2020-05-24;0
Etelä-Savon SHP;2020-05-24;0
Itä-Savon SHP;2020-05-24;0
Pohjois-Karjalan SHP;2020-05-24;0
Pohjois-Savon SHP;2020-05-24;0
Keski-Suomen SHP;2020-05-24;1
Etelä-Pohjanmaan SHP;2020-05-24;0
Vaasan SHP;2020-05-24;0
Keski-Pohjanmaan SHP;2020-05-24;0
Pohjois-Pohjanmaan SHP;2020-05-24;0
Kainuun SHP;2020-05-24;0
Länsi-Pohjan SHP;2020-05-24;0
Lapin SHP;2020-05-24;0
Helsingin ja Uudenmaan SHP;2020-05-24;16
Kaikki Alueet;2020-05-24;19
Ahvenanmaa;2020-05-25;0
Varsinais-Suomen SHP;2020-05-25;1
Satakunnan SHP;2020-05-25;0
Kanta-Hämeen SHP;2020-05-25;0
Pirkanmaan SHP;2020-05-25;4
Päijät-Hämeen SHP;2020-05-25;1
Kymenlaakson SHP;2020-05-25;0
Etelä-Karjalan SHP;2020-05-25;3
Etelä-Savon SHP;2020-05-25;0
Itä-Savon SHP;2020-05-25;0
Pohjois-Karjalan SHP;2020-05-25;0
Pohjois-Savon SHP;2020-05-25;0
Keski-Suomen SHP;2020-05-25;0
Etelä-Pohjanmaan SHP;2020-05-25;0
Vaasan SHP;2020-05-25;0
Keski-Pohjanmaan SHP;2020-05-25;1
Pohjois-Pohjanmaan SHP;2020-05-25;0
Kainuun SHP;2020-05-25;0
Länsi-Pohjan SHP;2020-05-25;1
Lapin SHP;2020-05-25;0
Helsingin ja Uudenmaan SHP;2020-05-25;34
Kaikki Alueet;2020-05-25;45
Ahvenanmaa;2020-05-26;0
Varsinais-Suomen SHP;2020-05-26;2
Satakunnan SHP;2020-05-26;0
Kanta-Hämeen SHP;2020-05-26;0
Pirkanmaan SHP;2020-05-26;0
Päijät-Hämeen SHP;2020-05-26;0
Kymenlaakson SHP;2020-05-26;1
Etelä-Karjalan SHP;2020-05-26;0
Etelä-Savon SHP;2020-05-26;0
Itä-Savon SHP;2020-05-26;0
Pohjois-Karjalan SHP;2020-05-26;0
Pohjois-Savon SHP;2020-05-26;0
Keski-Suomen SHP;2020-05-26;1
Etelä-Pohjanmaan SHP;2020-05-26;0
Vaasan SHP;2020-05-26;0
Keski-Pohjanmaan SHP;2020-05-26;0
Pohjois-Pohjanmaan SHP;2020-05-26;0
Kainuun SHP;2020-05-26;0
Länsi-Pohjan SHP;2020-05-26;0
Lapin SHP;2020-05-26;0
Helsingin ja Uudenmaan SHP;2020-05-26;29
Kaikki Alueet;2020-05-26;33
Ahvenanmaa;2020-05-27;1
Varsinais-Suomen SHP;2020-05-27;0
Satakunnan SHP;2020-05-27;0
Kanta-Hämeen SHP;2020-05-27;0
Pirkanmaan SHP;2020-05-27;1
Päijät-Hämeen SHP;2020-05-27;0
Kymenlaakson SHP;2020-05-27;0
Etelä-Karjalan SHP;2020-05-27;0
Etelä-Savon SHP;2020-05-27;0
Itä-Savon SHP;2020-05-27;0
Pohjois-Karjalan SHP;2020-05-27;0
Pohjois-Savon SHP;2020-05-27;0
Keski-Suomen SHP;2020-05-27;0
Etelä-Pohjanmaan SHP;2020-05-27;0
Vaasan SHP;2020-05-27;1
Keski-Pohjanmaan SHP;2020-05-27;0
Pohjois-Pohjanmaan SHP;2020-05-27;0
Kainuun SHP;2020-05-27;0
Länsi-Pohjan SHP;2020-05-27;0
Lapin SHP;2020-05-27;0
Helsingin ja Uudenmaan SHP;2020-05-27;9
Kaikki Alueet;2020-05-27;12
Ahvenanmaa;2020-05-28;0
Varsinais-Suomen SHP;2020-05-28;4
Satakunnan SHP;2020-05-28;0
Kanta-Hämeen SHP;2020-05-28;0
Pirkanmaan SHP;2020-05-28;0
Päijät-Hämeen SHP;2020-05-28;0
Kymenlaakson SHP;2020-05-28;0
Etelä-Karjalan SHP;2020-05-28;0
Etelä-Savon SHP;2020-05-28;0
Itä-Savon SHP;2020-05-28;0
Pohjois-Karjalan SHP;2020-05-28;0
Pohjois-Savon SHP;2020-05-28;1
Keski-Suomen SHP;2020-05-28;0
Etelä-Pohjanmaan SHP;2020-05-28;0
Vaasan SHP;2020-05-28;0
Keski-Pohjanmaan SHP;2020-05-28;0
Pohjois-Pohjanmaan SHP;2020-05-28;1
Kainuun SHP;2020-05-28;0
Länsi-Pohjan SHP;2020-05-28;1
Lapin SHP;2020-05-28;0
Helsingin ja Uudenmaan SHP;2020-05-28;23
Kaikki Alueet;2020-05-28;30
Ahvenanmaa;2020-05-29;0
Varsinais-Suomen SHP;2020-05-29;0
Satakunnan SHP;2020-05-29;0
Kanta-Hämeen SHP;2020-05-29;0
Pirkanmaan SHP;2020-05-29;0
Päijät-Hämeen SHP;2020-05-29;0
Kymenlaakson SHP;2020-05-29;0
Etelä-Karjalan SHP;2020-05-29;1
Etelä-Savon SHP;2020-05-29;0
Itä-Savon SHP;2020-05-29;0
Pohjois-Karjalan SHP;2020-05-29;0
Pohjois-Savon SHP;2020-05-29;0
Keski-Suomen SHP;2020-05-29;0
Etelä-Pohjanmaan SHP;2020-05-29;0
Vaasan SHP;2020-05-29;0
Keski-Pohjanmaan SHP;2020-05-29;2
Pohjois-Pohjanmaan SHP;2020-05-29;0
Kainuun SHP;2020-05-29;0
Länsi-Pohjan SHP;2020-05-29;0
Lapin SHP;2020-05-29;0
Helsingin ja Uudenmaan SHP;2020-05-29;18
Kaikki Alueet;2020-05-29;21
Ahvenanmaa;2020-05-30;0
Varsinais-Suomen SHP;2020-05-30;0
Satakunnan SHP;2020-05-30;0
Kanta-Hämeen SHP;2020-05-30;0
Pirkanmaan SHP;2020-05-30;0
Päijät-Hämeen SHP;2020-05-30;0
Kymenlaakson SHP;2020-05-30;0
Etelä-Karjalan SHP;2020-05-30;0
Etelä-Savon SHP;2020-05-30;0
Itä-Savon SHP;2020-05-30;0
Pohjois-Karjalan SHP;2020-05-30;0
Pohjois-Savon SHP;2020-05-30;0
Keski-Suomen SHP;2020-05-30;0
Etelä-Pohjanmaan SHP;2020-05-30;0
Vaasan SHP;2020-05-30;0
Keski-Pohjanmaan SHP;2020-05-30;0
Pohjois-Pohjanmaan SHP;2020-05-30;0
Kainuun SHP;2020-05-30;0
Länsi-Pohjan SHP;2020-05-30;0
Lapin SHP;2020-05-30;0
Helsingin ja Uudenmaan SHP;2020-05-30;10
Kaikki Alueet;2020-05-30;10
Ahvenanmaa;2020-05-31;0
Varsinais-Suomen SHP;2020-05-31;1
Satakunnan SHP;2020-05-31;0
Kanta-Hämeen SHP;2020-05-31;0
Pirkanmaan SHP;2020-05-31;0
Päijät-Hämeen SHP;2020-05-31;1
Kymenlaakson SHP;2020-05-31;0
Etelä-Karjalan SHP;2020-05-31;0
Etelä-Savon SHP;2020-05-31;0
Itä-Savon SHP;2020-05-31;0
Pohjois-Karjalan SHP;2020-05-31;0
Pohjois-Savon SHP;2020-05-31;0
Keski-Suomen SHP;2020-05-31;1
Etelä-Pohjanmaan SHP;2020-05-31;0
Vaasan SHP;2020-05-31;0
Keski-Pohjanmaan SHP;2020-05-31;0
Pohjois-Pohjanmaan SHP;2020-05-31;0
Kainuun SHP;2020-05-31;0
Länsi-Pohjan SHP;2020-05-31;1
Lapin SHP;2020-05-31;0
Helsingin ja Uudenmaan SHP;2020-05-31;8
Kaikki Alueet;2020-05-31;12
Ahvenanmaa;2020-06-01;0
Varsinais-Suomen SHP;2020-06-01;0
Satakunnan SHP;2020-06-01;0
Kanta-Hämeen SHP;2020-06-01;1
Pirkanmaan SHP;2020-06-01;0
Päijät-Hämeen SHP;2020-06-01;0
Kymenlaakson SHP;2020-06-01;1
Etelä-Karjalan SHP;2020-06-01;0
Etelä-Savon SHP;2020-06-01;0
Itä-Savon SHP;2020-06-01;0
Pohjois-Karjalan SHP;2020-06-01;0
Pohjois-Savon SHP;2020-06-01;0
Keski-Suomen SHP;2020-06-01;0
Etelä-Pohjanmaan SHP;2020-06-01;0
Vaasan SHP;2020-06-01;0
Keski-Pohjanmaan SHP;2020-06-01;3
Pohjois-Pohjanmaan SHP;2020-06-01;0
Kainuun SHP;2020-06-01;0
Länsi-Pohjan SHP;2020-06-01;0
Lapin SHP;2020-06-01;0
Helsingin ja Uudenmaan SHP;2020-06-01;12
Kaikki Alueet;2020-06-01;17
Ahvenanmaa;2020-06-02;1
Varsinais-Suomen SHP;2020-06-02;1
Satakunnan SHP;2020-06-02;0
Kanta-Hämeen SHP;2020-06-02;0
Pirkanmaan SHP;2020-06-02;0
Päijät-Hämeen SHP;2020-06-02;0
Kymenlaakson SHP;2020-06-02;0
Etelä-Karjalan SHP;2020-06-02;0
Etelä-Savon SHP;2020-06-02;0
Itä-Savon SHP;2020-06-02;0
Pohjois-Karjalan SHP;2020-06-02;0
Pohjois-Savon SHP;2020-06-02;0
Keski-Suomen SHP;2020-06-02;1
