Alue;Aika;val
Pohjois-Pohjanmaan SHP;2020-01-22;
Kainuun SHP;2020-01-22;
Länsi-Pohjan SHP;2020-01-22;
Lapin SHP;2020-01-22;
Helsingin ja Uudenmaan SHP;2020-01-22;
Kaikki Alueet;2020-01-22;
Ahvenanmaa;2020-01-23;
Varsinais-Suomen SHP;2020-01-23;
Satakunnan SHP;2020-01-23;
Kanta-Hämeen SHP;2020-01-23;
Pirkanmaan SHP;2020-01-23;
Päijät-Hämeen SHP;2020-01-23;
Kymenlaakson SHP;2020-01-23;
Etelä-Karjalan SHP;2020-01-23;
Etelä-Savon SHP;2020-01-23;
Itä-Savon SHP;2020-01-23;
Pohjois-Karjalan SHP;2020-01-23;
Pohjois-Savon SHP;2020-01-23;
Keski-Suomen SHP;2020-01-23;
Etelä-Pohjanmaan SHP;2020-01-23;
Vaasan SHP;2020-01-23;
Keski-Pohjanmaan SHP;2020-01-23;
Pohjois-Pohjanmaan SHP;2020-01-23;
Kainuun SHP;2020-01-23;
Länsi-Pohjan SHP;2020-01-23;
Lapin SHP;2020-01-23;
Helsingin ja Uudenmaan SHP;2020-01-23;
Kaikki Alueet;2020-01-23;
Ahvenanmaa;2020-01-24;
Varsinais-Suomen SHP;2020-01-24;
Satakunnan SHP;2020-01-24;
Kanta-Hämeen SHP;2020-01-24;
Pirkanmaan SHP;2020-01-24;
Päijät-Hämeen SHP;2020-01-24;
Kymenlaakson SHP;2020-01-24;
Etelä-Karjalan SHP;2020-01-24;
Etelä-Savon SHP;2020-01-24;
Itä-Savon SHP;2020-01-24;
Pohjois-Karjalan SHP;2020-01-24;
Pohjois-Savon SHP;2020-01-24;
Keski-Suomen SHP;2020-01-24;
Etelä-Pohjanmaan SHP;2020-01-24;
Vaasan SHP;2020-01-24;
Keski-Pohjanmaan SHP;2020-01-24;
Pohjois-Pohjanmaan SHP;2020-01-24;
Kainuun SHP;2020-01-24;
Länsi-Pohjan SHP;2020-01-24;
Lapin SHP;2020-01-24;
Helsingin ja Uudenmaan SHP;2020-01-24;
Kaikki Alueet;2020-01-24;
Ahvenanmaa;2020-01-25;
Varsinais-Suomen SHP;2020-01-25;
Satakunnan SHP;2020-01-25;
Kanta-Hämeen SHP;2020-01-25;
Pirkanmaan SHP;2020-01-25;
Päijät-Hämeen SHP;2020-01-25;
Kymenlaakson SHP;2020-01-25;
Etelä-Karjalan SHP;2020-01-25;
Etelä-Savon SHP;2020-01-25;
Itä-Savon SHP;2020-01-25;
Pohjois-Karjalan SHP;2020-01-25;
Pohjois-Savon SHP;2020-01-25;
Keski-Suomen SHP;2020-01-25;
Etelä-Pohjanmaan SHP;2020-01-25;
Vaasan SHP;2020-01-25;
Keski-Pohjanmaan SHP;2020-01-25;
Pohjois-Pohjanmaan SHP;2020-01-25;
Kainuun SHP;2020-01-25;
