"","fecha","Casos por fecha de inicio de síntomas","Casos por fecha de toma de muestra","Casos por fecha de emisión de resultados"
"467","2021-08-04","37","105","117"
"468","2021-08-05","64","102","105"
"469","2021-08-06","54","120","122"
"470","2021-08-07","47","67","12"
"471","2021-08-08","54","73","32"
"472","2021-08-09","75","136","135"
"473","2021-08-10","70","116","152"
"474","2021-08-11","54","104","133"
"475","2021-08-12","51","123","131"
"476","2021-08-13","56","118","121"
"477","2021-08-14","40","95","28"
"478","2021-08-15","63","52","17"
"479","2021-08-16","39","126","89"
"480","2021-08-17","53","129","107"
"481","2021-08-18","53","121","178"
"482","2021-08-19","52","144","135"
"483","2021-08-20","71","97","200"
"484","2021-08-21","65","69","22"
"485","2021-08-22","49","61","5"
"486","2021-08-23","54","143","127"
"487","2021-08-24","46","144","110"
"488","2021-08-25","71","106","228"
"489","2021-08-26","49","146","164"
"490","2021-08-27","71","129","73"
"491","2021-08-28","70","80","13"
"492","2021-08-29","81","52","29"
"493","2021-08-30","77","165","113"
"494","2021-08-31","48","117","149"
"495","2021-09-01","95","154","125"
"496","2021-09-02","67","107","49"
"497","2021-09-03","58","104","24"
"498","2021-09-04","64","67","3"
"499","2021-09-05","79","75","31"
"500","2021-09-06","56","104","201"
"501","2021-09-07","48","105","107"
"502","2021-09-08","46","71","47"
"503","2021-09-09","50","116","180"
"504","2021-09-10","55","88","144"
"505","2021-09-11","35","57","31"
"506","2021-09-12","22","34","87"
"507","2021-09-13","25","124","124"
"508","2021-09-14","26","84","157"
"509","2021-09-15","24","69","46"
"510","2021-09-16","31","67","131"
"511","2021-09-17","33","83","75"
"512","2021-09-18","41","31","35"
"513","2021-09-19","34","34","11"
"514","2021-09-20","55","78","128"
"515","2021-09-21","47","70","178"
"516","2021-09-22","25","63","65"
"517","2021-09-23","24","73","110"
"518","2021-09-24","44","49","88"
"519","2021-09-25","48","67","6"
"520","2021-09-26","27","32","18"
"521","2021-09-27","23","62","108"
"522","2021-09-28","43","44","170"
"523","2021-09-29","25","53","121"
"524","2021-09-30","27","46","62"
"525","2021-10-01","49","72","80"
"526","2021-10-02","21","32","27"
"527","2021-10-03","24","22","17"
"528","2021-10-04","25","43","79"
"529","2021-10-05","20","49","73"
"530","2021-10-06","20","28","44"
"531","2021-10-07","17","53","79"
"532","2021-10-08","21","33","64"
"533","2021-10-09","12","24","10"
"534","2021-10-10","20","15","1"
"535","2021-10-11","2","51","50"
"536","2021-10-12","10","42","96"
"537","2021-10-13","8","28","25"
"538","2021-10-14","11","18","41"
"539","2021-10-15","6","29","44"
"540","2021-10-16","7","17","2"
"541","2021-10-17","7","10","1"
"542","2021-10-18","14","40","58"
"543","2021-10-19","7","23","78"
"544","2021-10-20","7","8","8"
"545","2021-10-21","3","31","30"
"546","2021-10-22","2","10","39"
"547","2021-10-23","1","9","9"
"548","2021-10-24","2","7","2"
"549","2021-10-25","3","17","27"
"550","2021-10-26","0","4","72"
"551","2021-10-27","0","0","32"
"552","SIN DATOS","7635","2","0"
"553","Total","20220","20220","20220"
